FirstName,LastName,Company,Title,Socials,Website,Biography
Zoe,Cruz,Menai Financial Group,Founder & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Zoe Cruz is the Founder and CEO of Menai Financial Group, and a highly accomplished executive who spent decades at the forefront of the financial services industry, working in trading and capital markets. Zoe had a 25-year tenure at Morgan Stanley, where she was Co-President from 2005 to 2007; in this role, she ran major revenue-generating businesses, including the company’s securities, risk management and information technology organizations. Prior to that, Zoe was the Global Head of Fixed Income, Commodities and Foreign Exchange from 2001 until 2005. She joined Morgan Stanley in 1982 and was the third founding member of the company’s foreign exchange trading group. Zoe is also a former Senior Advisor at Promontory Financial Group, LLC, and the founder of an investment management firm, Voras Capital Management. In addition to her leadership position at Menai, Zoe serves as Founder and CEO of EOZ Global, a single-family office. She also sits on the boards of the Harvard Kennedy School Center for Business and Government Advisory Council. Zoe previously sat on the boards of Ripple, Old Mutual PLC, Morgan Stanley, Harvard Dean’s Council, MAN Group and Bowdoin College Investment Committee."
Alex,Murray,PREQIN,"VP, Head of Real Assets, Research Insights","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Alex Murray is a built environment economist specialising in private financing of public infrastructure. Starting his career in KPMG, Corporate Finance, his research of operational infrastructure lead to his PhD in whole life cost and value. As a researcher and lecturer at UCL’s Bartlett School of Sustainable Construction, he produced the analysis for a 2013 government commission on supply chains finance in construction, published with the 2013 UK Government construction strategy. He was later a Senior Analyst at the Infrastructure and Projects Authority. Alex joined Preqin as Vice President in September 2020, where he specialises in coverage of unlisted infrastructure."
Herry,Han,Soul Capital,Founding Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Herry Han is the Founding Partner of Soul Capital, a Chinese venture capital firm with a focus on supporting tech-enabled early-stage enterprises. With 15 years of experience in venture capital investment, Herry has made several successful early stage investments, such as Sr. A investment in Xpeng Motors (NYSE:XPEV, HK:09868), Sr. A investment in Full Truck Alliance (NYSE:YMM), Sr. B investment in FinVolution Group (NYSE:FINV), and other early stage investments such as Xpeng Aeroht，FanDeng Reading, Lanhu, Sunmi, ROXMotor, Minospace and Landscape, etc. Prior to founding Soul Capital in 2022, Herry is the cofounder of Lightspeed China Partners. He is the GP and key shareholder of Lightspeed China Partners Fund III, IV, Select I and RMB I, and the Partner of Lightspeed China Fund I & II. In addition, Herry served as one of six global IC members of the Lightspeed Global Opportunity fund. Herry was previously the Executive Director of Lightspeed USA, where he joined the Shanghai office in 2008. Before that, He worked at McKinsey China and Microsoft China. He is also the founder of a McKinsey alumni investors' group, ExMcK@Investment, which has more than 300 VC and PE members across China.Herry is widely recognized as one of the top young investors in China, and received numerous awards, including the “Top 100 Venture Capitalists of China” by Forbes China from 2019 to 2022 and “Top 50 VC Investors in China” by Jiemian from 2017 to 2020.He holds a Bachelor's degree in Electronic Engineering from Shanghai Jiao Tong University."
Dr. Gabriella,Kindert,Neptune Maritime Leasing,Board Member & Non-Executive Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/kindert/'}",{},"Dr. Gabriella Kindert is a senior banking and investment professional specialising in Alternative Credit and Private markets. She gained over 20 years of international experience in managing alternative fixed income investment portfolios over the cycle for leading institutional investors.  She created and successfully launched several new, innovative private market investment strategies, to which she attracted institutional investor support. She started her career in banking in 1998 in MeesPierson Corporate and Investment Banking, where she gained insight into various asset classes - asset-based finance, project finance, and leveraged finance in different geographies. She held various managerial positions at Fortis Investments Structured Credit, BNP Paribas Asset Management as Global Head of Loans and at NN IP as Head of Alternative Credit. Since 2019, she is focusing on Non-Executive Board and advisory positions focused on Private market investment solutions. She has been an independent board member at various companies (a.o. CVI, Mizuho Bank, Neptune Leasing, Dot Investing, VER Capital, ThirdSphere) with a focus on scaling up businesses, capital markets and investment strategy. She holds an M.A. in History (KLTE Hungary), Economics (Economic University, Hungary), MBA in Accounting and Finance (MSM, The Netherlands) and a Ph.D. in Finance (ISM, France). Her research focuses on alternative lending platforms and private market trends."
Mona,El Isa,Avantgarde,Founder & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/monaelisa/'}",{},"Mona El Isa is co-founder of Enzyme, one of the crypto industry ’s leading decentralised asset management protocols, and founder and CEO at Avantgarde. She is also President of MAMA (Multichain Asset Managers Association) and a Board Member at Near Foundation and KR1 Plc. She was nominated Technology Pioneer by the World Economic Forum and Digital Shaper in Bilanz magazine.As a former star-trader at Goldman Sachs, Mona was promoted to Vice President by the age of 26 and made the “Top 30 under 30” list in Trader Magazine in 2008 and Forbes Magazine in 2011 after profitably trading the 2008 and 2011 crashes. She moved to Geneva-based macro fund Jabre Capital in 2011, before deciding in 2014 that the future of finance lay in blockchain technology. She studied Economics & Statistics at University College London."
Stephen,Glagola,Cowen,Vice President Equity Research,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/stephen-glagola-b416a926/'}",{},"Stephen Glagola is a Vice President covering the cryptocurrency and digital asset sector. Prior to joining Cowen and Company in August 2013, Mr. Glagola was an equity research associate at Barclays."
Nitan,Pathak,EUropean Investment Fund,Senior Head of Unit,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://nitanpathak.com'}",{},"- Started as an engineer in the Aerospace and Defense sector at EADS Astrium. Later, gained in-depth industry knowledge during five years at Texas Instruments in Europe, Asia and the US, where he acted as Head of Business Development.- After obtaining his MBA from Oxford University in 2006, Nitan joined Mummert & Company, an international financial advisory firm based in Germany, where he was involved in a significant number of M&A transactions in the Telecom, Media and Technology (TMT) sector.- Nitan joined the European Investment Fund (EIF) in 2010. He worked as an Investment Manager within the Venture Capital team and was responsible for investments in venture capital funds focusing mainly on German-based, high-tech early and development stage companies.- Nitan worked as a Business Development Manager leading the development of new equity products e.g. sector specific co-investments products and manage relationship with Sovereign Wealth Funds- Currently, Nitan is leading the Institutional Asset Management team at EIF focusing on the MENA and APAC region; he is responsible in establishing new relationships with institutional investors and sovereign wealth funds internationally.Qualifications- MBA Oxford University, UK- MSC, BEng (Hons), Southampton University, UK-  DEUG A,"
Ken,Zheng,Panda Remit,Co-Founder & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/ken-zheng-53a4341/'}",{},"In 2018, Mr. Ken Zheng founded Panda Remit and he is responsible for the company’s strategic planning, business development, and operations management. Prior to founding Panda Remit, Mr. Ken Zheng worked for American Express, First Data, and Western Union. In 2015, Ken built American Express innovative business team in China and successfully provided Chinese consumers with mobile and cross-border payment products. As a result of his innovative business team actions, the transaction volume increased by 195% for three consecutive years and the total user size was nearly 42 million. For these accomplishments, Mr. Ken Zheng won ImageImagethe company’s highest honor – President award that year."
Emma,Cui,LongHash Ventures,Founding Partner & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/emmacui/'}",{},"Emma Cui is the Founding Partner and CEO at LongHash Ventures, Asia’s first and leading Web3 accelerator and investment fund. Prior to founding LongHash Ventures, Emma was a management consultant at McKinsey & Company, where she advised financial institutions on digital attacker businesses. Emma has over a decade of banking experience established across financial institutions in Singapore, Hong Kong, Australia and China, having worked in Trading and Commercial Lending. Emma holds a Master of Science degree from MIT and the National University of Singapore, and holds a Bachelor of Engineering from Nanyang Technological University."
Emi,Lorincz,Crypto Valley Association,President,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/emilorincz/?originalSubdomain=ch'}",{},"Emi Lorincz started her career in traditional financial services at Morgan Stanley, then moved to aircraft financing at GE Capital and later to commodity trading at Eni. Since 2017 Emi’s focus has been directed towards the ever evolving world of digital assets and blockchain technology. Bringing a wealth of work experience from the traditional markets and the field of cryptocurrencies, - she combines these two worlds to help companies benefit from both.She is passionate about advancing the case of Bitcoin, so much so that she talked on TEDx about how Bitcoin can be the “Guardian Angel” of privacy. Dedicated to increasing the usage and adoption of cryptocurrencies, Emi is currently engaged in rolling-out the institutional solution of security company Ledger, while serving on the council of the Bancor Foundation and as the president of the Crypto Valley Association."
Shawn,Douglass,Amberdata,Co-Founder and CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/shawndouglass/'}",{},"Shawn Douglass is Co-founder and CEO of Amberdata, a Blockchain and Digital Asset Data company. Prior to founding Amberdata, Mr. Douglass served as President of Software and CTO at Unified, building and operating the company's rapidly-expanding SaaS offerings in cross-platform data management, analytics, and reporting. Mr. Douglass was CTO at ServiceMesh (acquired by CSC) and drove the strategy and vision of the ServiceMesh Agility Platform and contributing to IT transformation at Global 2000 enterprises. Prior to ServiceMesh, he was Managing Director at EMC Ventures where he led strategic investments in cloud, security, big data/analytics, and disruptive technology and business models. He has been a cloud visionary and key contributor to the emerging enterprise cloud operating model for over a decade. He has held roles as Board Member, Operating Executive, Technologist, Advisor and Investor. Mr. Douglass is a graduate of Harvard"
Tim,Fox,Tim Fox Advisory,Founder & Managing Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/tim-fox-bba90b11'}",{},"•Tim Fox is well known in Dubai as the former Chief Economist of Emirates NBD where he worked from 2008 to 2020. He has over 30 years of experience in financial markets in London, New York and Dubai.•More recently he has created a boutique consultancy and advisory firm - Tim Fox Advisory -working with companies and organizations in a number of sectors regionally and internationally, including St Gotthard Fund Management AG based in Switzerland and Tratok - an Emirati blockchain-driven SME disrupting payments in the global tourism sector.  •Tim is a frequent commentator on global and regional business channels and local radio programs and a contributor to a number of prominent global and regional publications, including writing a regular column for The National newspaper since 2013."
Yazan,Abdeen,AD Investment Management,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Yazan Abdeen is Chief Executive Officer and Portfolio Manager at AD Investment Management in charge of building, developing and managing the business. Yazan has experience in setting up award-winning asset management practices in the UAE and Saudi Arabia through his career. Over the past 15 years, Yazan has led teams and managed a variety of MENA funds during his time at Scope Investment, SEDCO Capital, ING Investment Management and other regional investment companies. Yazan holds a Bachelor’s Degree in Mathematics and Computer Science from the American University of Beirut, Lebanon and an MBA from London Business School, UK."
Hany,Choueiri,"GLEIF, Aldermore Bank","Vice-Chair, Chief Data Officer","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/hanychoueiri'}",{},"With over 25 years of experience in data, Mr. Choueiri is the Chief Data Officer at Aldermore Bank heading up Advanced Analytics, Data Governance and Digital Marketing and is responsible for driving the Bank’s data strategy.  In addition, Mr. Choueiri is board member and vice-chair of the GLEIF (Global Legal Entity Identifier Foundation) which was established by worldwide financial regulators in 2014 as a not-for-profit organization to support the implementation and use of the global Legal Entity Identifier.  In addition, he is a keen advocate of ESG and the World Economic Forum’s Stakeholder Capitalism model and has run a series of educational live steams and interviews on the topic.Previously, Mr. Choueiri consulted on the General Data Protection Regulation (GDPR) for Central Eastern Europe, AON based in the U.K. Before AON, Mr Choueiri worked as the Bank of England’s first Chief Data Officer leading the strategic One Bank Data initiative while also representing the Bank of England at the LEI Regulatory Oversight Committee and at State Street as the Head of Data Governance and Strategy for the EMEA region.Between 2009 and 2014, Mr. Choueiri worked in various roles at HSBC most recently as the GBM Chief Data Officer, Europe & Head of Data Quality Services where he was instrumental at spearheading the first LEI registrations for the HSBC Group of companies. Having pioneered one of the first Data Warehouses, Mr. Choueiri’s career has been centered around data and its management resulting in unique insights on the opposing perspectives of data as a risk versus data as a benefit.Mr Choueiri obtained a Master of Science degree in Information Engineering, specialising in Robotics from the City University, London. He also studied at University College London where he obtained a Bachelor of Science degree in Mechanical Engineering."
Patricia,Webber,Nevo Capital,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/patriciawebber/'}",{},"CEO  and co–founder of Nevo Venture Capital UK specializing in capital raising and Financial Tech funding. UK CEO Apollonian in Luxembourg.  A former partner in Swiss Banking Advisory leading British companies to overseas markets in an advisory role, and Swiss companies in financial conferences in London. International experience in helping private companies expand overseas including Bank of Bermuda.  In recent years, A former Non-Executive Director on the Board MIC. A former Director advising private companies on risk and compliance to engage with winning contracts with the Public Sector. Specialist in brokerage with Institutional investors.Co-founder of Linvo Blockchain Consultancy, a leading advocate on Cryptocurrency applications and cyber security.Patricia has a Masters of Science Degree In Business  is a Fellow of the RSA"
Swen,Werner,State Street,"Global Product Manager, Digital Product Development","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Swen Werner is responsible for digital assets and markets development designing new products, leveraging different emerging technologies, including distributed ledger technologies and engagement with industry partners to design industry-leading service and operating models. Based in London having relocated from Boston (MA) in 2018 where he was State Street’s Head of Deposit Solutions responsible for the development of the cash product strategy. Swen joined State Street in 2015 as a Managing Director, responsible for product strategy and the implementation of operative changes pertaining to the TARGET2-Securities (T2S) settlement platform and covering the core custody and cash product strategy within the EMEA region from London. Swen has been working in the financial services industry for over 15 years and has held senior roles in Europe, the USA and Asia with JP Morgan, Deutsche Bank and Deutsche Boerse focusing on product management for custody, clearing and collateral management. Swen has and continues to be actively engaged in regulatory and industry developments affecting the securities services environment and was selected by Global Custodian magazine in December 2019 to be one of “30 names who will shape the future of securities services.” He holds an Executive Master of Business Administration (EMBA) from the Business School (formerly Cass) City University of London."
Bhupinder,Singh,First Abu Dhabi Bank,"Managing Director, Global Head of Leveraged & Acquisition Finance","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/bhupinder-singh-0059b5/'}",{},"Bhupinder Singh is a Managing Director, Head of Leveraged & Acquisition Finance at First Abu Dhabi Bank (FAB), the largest and most dominant regional investment bank in the Middle East.Bhupinder serves on the Corporate Finance Executive Committee at FAB, which include investment banking businesses such as M&A/ECM, DCM and other structured financing businesses, and he is also responsible for driving the FAB SWF and Financial Sponsors business.He has developed and established the FAB Leveraged & Acquisition Finance business to become the leading platform in the MENA region, becoming the preferred partner on all acquisition financings, and other strategic event driven financings, for the most sophisticated clients in the region, as well as all global private equity sponsors with interest in the region. The business has grown its income and assets multiple fold under his leadership in the past three years.Bhupinder has structured and led hundreds of strategic event driven and other acquisition financings across all sectors and countries, on transactions valued in excess of USD 100bn, including all the latest monetizations completed by key corporates like DP World, Aramco and ADNOC, while supporting world class acquirers like Blackrock, EIG, CDPQ, Brookfield, ADQ and others.Prior to joining FAB in 2019, Bhupinder spent 9 years at Standard Chartered in Dubai, where he was responsible for the leveraged finance business in KSA, as well as all real estate related financings in the region. He started his career in 2005 in London as an M&A banker at Morgan Stanley, and also spent some time at Lloyds before moving to Standard Chartered in Dubai in 2011.Bhupinder holds an MSc in Applied Economics & Finance from Copenhagen Business School and Stockholm School of Economics, and is a devoted husband and proud father of three daughters."
Noor,Sweid,Global Ventures,General Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/noor-sweid-4b5233/?originalSubdomain=ae'}",{},"Noor Sweid is the General Partner of Global Ventures, a UAE-based international venture capital firm with presence in Cairo, Jeddah, Riyadh, Tunis and Lagos. Noor was the Chief Investment Officer at The Dubai Future Foundation and Managing Partner at Leap Ventures.  Prior, Noor joined her family business, Depa (NASDAQ: DEPA.DU), where she scaled the business tenfold, executed four cross border acquisitions and led the region’s first IPO on the LSE and the NASDAQ Dubai, achieving a billion+ dollar valuation.She also founded ZenYoga, the first yoga studio in MENA, which grew to become the region’s largest wellness chain before successfully exiting to a private equity firm. Noor started her career as a biotech strategy consultant at Accenture in the US.Noor is the Chairwoman of MEVCA, and was a Founding Board member of Endeavor UAE. She also sits on the board of MIT Sloan, Arrow Labs, Proximie, MUNCH:ON, Clue, Tribal Credit and Ogram.Noor was recognized in Forbes’ World’s Top 50 Women in Tech, Arabian Business 100 Most Powerful Arab Women list. She received the Arab Woman Award for Finance. Noor holds bachelors’ degrees in Finance and Economics from Boston College as well as an MBA from MIT Sloan."
Manoj,Narender Madnani,Beacon Media MESMR,Chairman & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/manoj-narender-madnani'}",{},"Manoj Narender Madnani, CEO and Co-Founder of Beacon Media, stands as a prominent figure in the entertainment industry. Beacon Media is a global media company at the forefront of innovation in media production, finance, and distribution. Manoj, a visionary entrepreneur, film producer, and philanthropist, specializes in cutting-edge solutions like blockchain technology, tokenization, web3, AI, and immersive technologies. Through collaborations with top firms such as Horizen Labs, Sandbox, Silverbacks Holdings, and Republic Crypto, Manoj is revolutionizing content creation, curation, and the monetization of intellectual property (IP). His unwavering belief that 1+1 equals 11 generates exponential value for all stakeholders.With a career spanning entertainment, aviation, energy, gaming, blockchain, and more, Manoj brings a profound understanding of business development, finance, M&A, and global opportunities. His work empowers the global talent community, meets the increasing demand for content, and he remains passionate about supporting noble causes such as the Universal Peace Sanctuary, which promotes global peace and harmony, and Sacred Groves, dedicated to environmental sustainability.Based in the Middle East, Beacon Media finances, produces, and distributes content worldwide. As an alumnus and trustee of Babson College along with a membership of the Young Presidents Organization since 2003, he exemplifies unwavering commitment to lifelong learning and professional growth.To connect with Manoj Narender Madnani and learn more about his endeavors, you can visit his LinkedIn profile at Manoj Narender Madnani | LinkedInor follow him on Twitter Manoj Narender Madnani (@mnmadnani) / X (twitter.com)For more information about Beacon Media, visit their official website at www.beaconmedia.global.For IMDb profile at Manoj Narender Madnani - IMDbAssistant: Kavita Paul k.paul@beaconmedia.global"
Ijeoma,Okoli,Digital Economy Initiative,Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/ijeoma-e-okoli-7a9849b/'}",{},"Ijeoma is an experienced executive and senior finance, securities and financial regulatory lawyer with extensive experience advising financial services firms and corporate clients globally.  Ijeoma is also an expert on existing cryptocurrency regulation and public policy in the US and UK and the gaps that exist in the legal frameworks.  She speaks regularly on digital assets at institutions and conferences in the US and Europe. She was a subject matter expert participant at the UK Financial Conduct Authority’s first ever Crypto Sprint where the regulator brought together experts to advise it on what its approach to crypto assets should look like in the future.Ijeoma is a digital assets investments strategic adviser; a co-Founder and co-Director of the Digital Economy Initiative, an independent digital assets think tank in London focused on US and UK crypto public policy; a member of the Board of the Museum of London; and a founding member and limited partner of Impact X Capital Partners, an ESG focused venture capital fund.  She previously was an Executive Director and Digital Currency Risk Management Lead at JPMorgan focused on designing the firm’s global digital currency risk management and governance framework and analyzed and vetted crypto related business proposals. She was also a member of the Board of Directors of Aldermanbury Investments Limited, a JPMorgan subsidiary.  Since 2019, she has been a judge for the Power List of Britain’s Most Influential People of African, African Caribbean and African American heritage.  She was listed on the 2020 FTSE Board Report’s 100 Women to Watch list, was named Investment Woman of the Year at the 2020 Woman in Investment Awards, won the Outstanding Contribution of the Year Award at the 2021 Women in Finance Awards, and was listed as one of Brummell Magazine’s 2022 Inspirational Women in the City of London and PitchBook’s 2022 Female Founders and Investors to Know.Ijeoma holds a B.A. and M.P.A. from New York University and a J.D. from Cornell University."
Mohammed,Alzubi,Nama Ventures,Founder & Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/company/namaventures/posts/?feedView=all'}",{},"Mohammed is an engineer turned engineering manager, turned entrepreneur turned tech investor. Made numerous investments in both startups and VC funds along the years, 85 investments and counting.Currently the Founder & Managing Partner of Nama Ventures, a Venture Capital fund focused on fueling technology innovation in MENA.A member of many Angel Networks including Sand Hill Angels in Silicon Valley, Founding board member of Riyadh Angel Investors in Riyadh, and an advisor with Woman Spark in KSA.Mohammed was one of the co-founders of Tech Wadi in Silicon Valley and he’s an advisor to numerous MENA tech incubators, accelerators and startups, and currently sits on numerous startup boardsMohammed holds an MBA from London Business School and a BS in Electrical & Computer Engineering from Brigham Young University.Technical Certs: CCIE, MCSE, CCSP, and MCDBA. Also paid my coding dues in low level C, C++ & Java.Mohammed can be reached on twitter at @mzu3bi"
Bill,Papanastasiou,Stifel,"Associate Vice President, Research","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Bill Papanastasiou is an equity research analyst at Stifel GMP, where he is responsible for lead coverage of the Crypto, Digital Assets & Blockchain space. Bill currently covers several notable Bitcoin mining focused public companies (including Hut 8 Mining Corp., HIVE Blockchain Technologies Ltd., Bitfarms Ltd. and Argo Blockchain) as well as companies with exposure to decentralized finance and Web 3.0 technology verticals. Bill has been involved in the digital assets space since 2016 and has nearly a decade of combined experience working in public accounting and financial services based roles. He holds a CPA, CA designation and obtained his undergraduate degree from Wilfrid Laurier University."
Katie,Martin,Financial Times,Markets Editor,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Katie is the markets editor at the FT in London, covering all the key asset classes and writing the weekly Long View column. Before joining the FT in 2015 she spent 11 years at Dow Jones/The Wall St Journal."
V,Shankar,Gateway Partners,CEO & Co-founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"V Shankar (""Shankar"") is Co-Founder and Chief Executive Officer of Gateway Partners, an investment manager focused on the dynamic growth markets of Africa, Middle East, South and Southeast Asia.Shankar is non-executive director of Dangote Cement PLC, Nigeria; Dangote Industries Limited, Nigeria; FEDA Investment Management (a subsidiary of African Export-Import Bank), Rwanda; Vision Blue Resources, Guernsey; and AG Café International Management Ltd (Tim Hortons Middle East), United Arab Emirates.Shankar previously served as CEO - Europe, Middle East, Africa and Americas and a member of the global board of Standard Chartered Plc and prior to that as CEO - BA Asia and Head of Investment Banking for Asia Pacific at Bank of America.  His past appointments in a non-executive capacity on various institutions and committees include the boards of the Inland Revenue Authority Singapore; Enterprise Singapore; Majid Al Futtaim Holdings; Economic Strategies Committee and National Integration Council constituted by the government of Singapore; Asia Society, New York; Sub-Saharan Advisory Board of the Exim Bank USA; Singapore Indian Development Association; Global Business Coalition for Education; Vice Chair of Future of Banking Global Agenda Council of the World Economic Forum; and, financial centre task force appointed by the Treasurer of the State of California. Mr. Shankar was awarded the Public Service Medal by the government of Singapore in 2014."
Dr. Douglas,Greenig,Florin Court Capital,Chief Executive Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/douglas-greenig-21313911/'}",{},"Dr Douglas Greenig, CEO & CIO, Florin Court Capital Doug is the founder of Florin Court Capital, a leading systematic asset manager based in London and Abu Dhabi. The Florin Court Programme has delivered class-leading returns since inception in 2017 and has won various awards and recognitions. HFMGlobal awarded Florin Court the final prize, best ""Billion Dollar Fund"", in the 2022 EU Performance Awards. Florin Court systems capture macro themes, and the investment process centres on alternative markets, where the opportunity set is superior and the firm can utilise its operational expertise. Prior to founding Florin Court, Doug was Chief Risk Officer of Man/AHL and Head of the Portfolio Management Group. Doug was jointly responsible (with the CIO) for the evaluation and approval of all investment strategies and trading systems. Prior to AHL, Doug was a Managing Director working as a quantitative portfolio manager at the Fortress Investment Group beginning in 2006. From 2001 to 2006, Doug was Head of Agency Mortgage Trading at RBS Greenwich Capital. He also managed an 8-person quantitative proprietary trading desk at the firm, beginning in 2000. From 1993 to 1999, Doug worked at Goldman Sachs in New York, running the New York bond arbitrage desk. Prior to Goldman. Doug was a Senior Consultant at BARRA. Doug earned a Ph.D. and an M.S. in Mathematics from the University of California at Berkeley in 1993. He graduated from Princeton University in 1986 with an A.B. in Economics, Summa Cum Laude. He was awarded the Wilson Prize for his thesis, which influenced Fischer Black's late work on general equilibrium theory. Doug taught Portfolio and Risk Management at the Courant Institute at NYU in 2010."
Mishal,Kanoo,The Kanoo Group,Chairman,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/mishal-kanoo-14099111b'}",{},"Mr. Mishal Kanoo is one of the most iconic business figures in the Middle East and has a reputation as a futurist and strategist with a strong track record in forecasting economic developments in the region. As Chairman of KAAF Investments, Mishal Kanoo tries to help people reach their professional dreams. The excitement of helping others achieve their goals, both big or small, is what drives him. Playing a role in bettering people's lives is a great instigator for doing what he does. Kanoo has been investing on a personal and company level since 1991.  Mr. Kanoo currently serves as the Chairman of The Kanoo Group, one of the largest, longest running and independent family-owned groups of companies in the Gulf region. Furthermore, he is a professional and motivational speaker, writes articles for local and regional media, is published in business journals on a regular basis, and holds chief positions as Chairman/Director of various reputable companies, including AXA Insurance Gulf, Gulf Capital, KHK & Partners Limited, Dalma Capital, and Johnson Arabia LLC.   Mishal Kanoo adheres to family values and ideals in pursuit of quality and excellence. Over the years, the Kanoo family has always been associated with the progress and development of the entire region combined with a sense of philanthropy.    Mishal grew up in the United Arab Emirates and finished his early schooling in Dubai. Thereafter he obtained two MBAs, one in finance from the University of St. Thomas, in Texas, and one from the American University of Sharjah. He began his professional career within the family business before going to university to get his first Master’s Degree. He then worked as an auditor outside his family business with Arthur Andersen in Dubai, before Re-joining The Kanoo Group in 1997 as the Deputy Chairman."
Vicky,Hudson,Aberdeen Standard Investments,Senior Investment Manager,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Vicky Hudson is a Senior Investment Manager within Aberdeen Standard Investment’s Alternative Investment Solutions Team and heads up the Team’s Portfolio Management arm. She is also the lead portfolio manager for a multi-manager, multi-strategy, liquid alternatives portfolio. Vicky joined ASI in 2010 via the acquisition of various asset management businesses from Royal Bank of Scotland where she was the Head of the UK & European Equities team. Vicky graduated with a BSc (Hons) in Economics and is a Fellow of the Chartered Institute for Securities & Investment (CISI), co-chairing the CISI Fund Management Diploma Exam Panel."
The Hon. Steven,Ciobo,"Managing Director, Head of Global Affairs, Stonepeak","Former Australian Minister for Trade, Tourism, and Investment","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Steven is Head of Global Affairs and Engagement with Stonepeak, a circa $57 billion AUM US-based infrastructure focused asset manager and investor. Steven’s responsibilities include providing global stewardship of Stonepeak’s fifty plus portfolio company investments where they intersect with politics and policy. Additionally, Steven provides geopolitical and geostrategic advice for Stonepeak in assessing risk and opportunities.Prior to joining Stonepeak, Steven pursued Australia's most ambitious trade and investment agenda while serving as Australia's Minister for Trade, Tourism & Investment. He negotiated and secured economy boosting agreements by completing the Comprehensive and Progressive Trans Pacific Partnership (TPP11) as well as the Indonesia-Australia Comprehensive Economic Partnership Agreement (IA-CEPA).In his tenure as a senior Cabinet Minister, Steven also started and completed the Peru-Australia Free Trade Agreement (PAFTA), as well as the Hong Kong - Australia Free Trade Agreement. He secured the commencement of FTA negotiations with the European Union, and led Australia to be the first country to establish a negotiating framework for a post-Brexit FTA with the United Kingdom. Steven served in a number of senior Ministerial roles as a Member of Australia’s Parliament for nearly 18 years, including in Defence Industry, International Development and the Pacific, and as the Parliamentary Secretary to the Treasurer.Steven is a senior leader with unrivalled experience in strategic thinking, stakeholder engagement and management, negotiation and media management. He has performed well in one of the most high-profile environments with unparalleled accountability. He is equipped with a deep knowledge of domestic and international governments and has established global relationships across the public and private sectors.Steven retired from politics at the May 2019 Federal election and now works in an advisory role in private equity and asset management. Steven is also an Asia Fellow with the Milken Institute."
